	CL2001032010AA.CEL	CL2001032041AA.CEL
1264_at	3.48468929467959	3.61899023402183
1265_g_at	4.00483844686836	4.00296039626168
1266_s_at	5.83703565024145	5.84103321825232
1267_at	6.96152782193223	6.72309665221058
1268_at	8.83367994372978	8.46527742083045
1269_at	4.30018322936933	4.42287848184685
1270_at	8.42133312063101	8.34056155346572
1271_g_at	8.1694137456882	8.34840548912319
1272_at	4.10093477925453	4.21178267282374
1273_r_at	7.61968547089591	6.96152932768939
1274_s_at	7.05012070605676	6.67633625480551
1275_at	3.06715920929902	3.09680970212963
1276_g_at	8.08255025980166	8.25106769129532
1277_at	6.550470558166	6.23153985049035
1278_at	6.81731975873906	6.86895902060573
1279_s_at	6.50351591751969	6.42253294491915
128_at	5.02921581451134	5.10488648511081
1280_i_at	7.01987385909424	7.40748418287473
1281_f_at	4.83538994457139	5.05710450590849
1282_s_at	4.69546955538329	4.55236309492136
1283_at	4.28722014443353	3.9421084046389
1284_at	5.50604696619136	5.37687470803062
1285_at	4.71723001924867	4.79546811345972
1286_s_at	3.37186544970328	3.59017486925227
1287_at	7.15207550176418	7.46785206584658
1288_s_at	12.6807328411962	12.3964851635787
1289_at	7.45264432006467	7.54442796296439
129_g_at	5.64146879730023	5.88247781351344
1290_g_at	7.50016066993636	7.93977958195065
1291_s_at	7.25293467543595	7.93864074242024
1292_at	6.31600723763165	6.61080294511723
1293_s_at	4.90453904942398	4.78661552562183
1294_at	8.24401908154491	8.02058944544506
1295_at	7.3645879266363	7.90392213949429
1296_at	7.71177882776652	7.39726603277327
1297_at	5.55797323875975	5.77925881801813
1298_at	3.44137884709155	3.81887591989885
1299_at	3.15064611704399	3.05590444113896
130_s_at	8.16254151908591	7.51833561124949
1300_at	3.85119986388149	4.08262715555731
1303_at	4.68088522132317	4.87098177828132
1304_at	4.27064141550622	4.25778265391316
1305_s_at	7.7261004769789	7.91320538385711
1306_at	8.30351267936938	7.77003417015148
1307_at	4.20583469458767	4.29124644708614
